can,y,task,scaffold
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1cc(C[N+](C)(C)C)cc(C[N+](C)(C)CCCCCCCCCCCCCCCC)c1.[Br-].[Br-].[Br-],0,binary,c1ccccc1
CCCCCCCCCCCCCCCC[n+]1cccc(CN(Cc2ccc[n+](CCCCCCCCCCCCCCCC)c2)Cc2ccc[n+](CCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(CN(Cc2ccc[nH+]c2)Cc2ccc[nH+]c2)c1
CCCCCCCCCCCCCCCCCC[n+]1cccc(CN(Cc2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)Cc2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(CN(Cc2ccc[nH+]c2)Cc2ccc[nH+]c2)c1
CCCCCCC[n+]1cccc(OCC(COc2ccc[n+](CCCCCCC)c2)(COc2ccc[n+](CCCCCCC)c2)COc2ccc[n+](CCCCCCC)c2)c1.[Br-].[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(OCC(COc2ccc[nH+]c2)(COc2ccc[nH+]c2)COc2ccc[nH+]c2)c1
CCCCCCCC[n+]1cccc(OCC(COc2ccc[n+](CCCCCCCC)c2)(COc2ccc[n+](CCCCCCCC)c2)COc2ccc[n+](CCCCCCCC)c2)c1.[Br-].[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(OCC(COc2ccc[nH+]c2)(COc2ccc[nH+]c2)COc2ccc[nH+]c2)c1
CCCCCCCCC[n+]1cccc(OCC(COc2ccc[n+](CCCCCCCCC)c2)(COc2ccc[n+](CCCCCCCCC)c2)COc2ccc[n+](CCCCCCCCC)c2)c1.[Br-].[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(OCC(COc2ccc[nH+]c2)(COc2ccc[nH+]c2)COc2ccc[nH+]c2)c1
CCCCCCCCCC[n+]1cccc(OCC(COc2ccc[n+](CCCCCCCCCC)c2)(COc2ccc[n+](CCCCCCCCCC)c2)COc2ccc[n+](CCCCCCCCCC)c2)c1.[Br-].[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(OCC(COc2ccc[nH+]c2)(COc2ccc[nH+]c2)COc2ccc[nH+]c2)c1
CCCCCCCCCCC[n+]1cccc(OCC(COc2ccc[n+](CCCCCCCCCCC)c2)(COc2ccc[n+](CCCCCCCCCCC)c2)COc2ccc[n+](CCCCCCCCCCC)c2)c1.[Br-].[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(OCC(COc2ccc[nH+]c2)(COc2ccc[nH+]c2)COc2ccc[nH+]c2)c1
CCCCCCCCCCCC[n+]1cccc(OCC(COc2ccc[n+](CCCCCCCCCCCC)c2)(COc2ccc[n+](CCCCCCCCCCCC)c2)COc2ccc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-].[Br-].[Br-],0,binary,c1c[nH+]cc(OCC(COc2ccc[nH+]c2)(COc2ccc[nH+]c2)COc2ccc[nH+]c2)c1
C[N+](C)(C)CC[N+](C)(C)C,0,binary,acyclic
C[N+](C)(C)CCCCC[N+](C)(C)C.[I-].[I-],0,binary,acyclic
CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],1,binary,acyclic
CCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],1,binary,acyclic
CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[I-],1,binary,acyclic
CCCCCC[N+](C)(C)CCCCCCCCCCC(=O)OC.[Cl-],1,binary,acyclic
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCC(=O)OC.[Cl-],0,binary,acyclic
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCC(=O)OC.[Cl-],0,binary,acyclic
CCCCCC[N+](C)(CCCCCCCCCCC(=O)OC)CCCCCCCCCCC(=O)OC.[Cl-],0,binary,acyclic
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCC(=O)OC)CCCCCCCCCCC(=O)OC.[Cl-],0,binary,acyclic
CCCCCCCCCCCCCCCCCC[N+](C)(CCCCCCCCCCC(=O)OC)CCCCCCCCCCC(=O)OC.[Cl-],0,binary,acyclic
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCCCCC(=O)OC.[Cl-],0,binary,acyclic
COC(=O)CCCCCCCCCC[N+](C)(C1CCCCC1)C1CCCCC1.[Cl-],0,binary,C1CCC([NH2+]C2CCCCC2)CC1
CCC[N+]12CCC(CC1)C(O)C2.[Br-],0,binary,C1C[NH+]2CCC1CC2
