can,y,task,scaffold
CCCC1OCc2c(C[N+](C)(C)CCCCCC[N+](C)(C)Cc3cnc(C)c4c3COC(CCC)O4)cnc(C)c2O1.[Cl-].[Cl-],6.60877779226644,reg,c1ncc2c(c1C[NH2+]CCCCCC[NH2+]Cc1cncc3c1COCO3)COCO2
CCCC1OCc2c(C[N+](C)(C)CCCC[N+](C)(C)Cc3cnc(C)c4c3COC(CCC)O4)cnc(C)c2O1.[Cl-].[Cl-],6.671857482739793,reg,c1ncc2c(c1C[NH2+]CCCC[NH2+]Cc1cncc3c1COCO3)COCO2
CCCC1OCc2c(C[N+](C)(C)CCC[N+](C)(C)Cc3cnc(C)c4c3COC(CCC)O4)cnc(C)c2O1.[Cl-].[Cl-],6.704462686651851,reg,c1ncc2c(c1C[NH2+]CCC[NH2+]Cc1cncc3c1COCO3)COCO2
CCCC1OCc2c(C[N+](C)(C)CC[N+](C)(C)Cc3cnc(C)c4c3COC(CCC)O4)cnc(C)c2O1.[Cl-].[Cl-],6.737821847270681,reg,c1ncc2c(c1C[NH2+]CC[NH2+]Cc1cncc3c1COCO3)COCO2
CCCC1OCc2nc(C[N+](C)(C/C=C/C#CC(C)(C)C)Cc3cccc4ccccc34)c3c(c2CO1)COC(CCC)O3.[Br-],6.561230232882016,reg,c1ccc2c(C[NH2+]Cc3nc4c(c5c3OCOC5)COCOC4)cccc2c1
CCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],7.224259996091243,reg,c1cc2c(cn1)OCOC2
CCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],7.17773811571762,reg,c1cc2c(cn1)OCOC2
CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],12.064083923871427,reg,c1cc[nH+]cc1
CCCCCCCC/C=C/CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],5.570915615675618,reg,c1cc[nH+]cc1
CCCCCCCCC(C)C1OCc2c(C[N+](C)(C)CCCNC(=O)CCCCC)cnc(C)c2O1.[Cl-],6.8883463256768565,reg,c1cc2c(cn1)OCOC2
